x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2015,Escherichia coli,"Carbapenems, Penicillins, β-lactam combination agents",6,21879,0.03,M3-025
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",5,21879,0.02,M4-011
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",3,21879,0.01,M6-001
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",3,21879,0.01,M6-004
2015,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",3,21879,0.01,M5-018
2015,Escherichia coli,"Carbapenems, Folate pathway antagonists, Penicillins",3,21879,0.01,M3-023
2015,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",3,21879,0.01,M3-033
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",2,21879,0.01,M5-002
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",2,21879,0.01,M5-012
2015,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",2,21879,0.01,M4-022
2015,Escherichia coli,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",2,21879,0.01,M4-027
2015,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists",2,21879,0.01,M3-026
2015,Escherichia coli,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",2,21879,0.01,M3-028
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins",1,21879,0.0,M5-004
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins",1,21879,0.0,M4-003
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",1,21879,0.0,M5-006
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1,21879,0.0,M6-005
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents",1,21879,0.0,M5-009
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents",1,21879,0.0,M5-010
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones",1,21879,0.0,M3-006
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",1,21879,0.0,M4-015
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, β-lactam combination agents",1,21879,0.0,M3-009
2015,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",1,21879,0.0,M4-021
2015,Escherichia coli,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",1,21879,0.0,M5-019
2015,Escherichia coli,"Carbapenems, Fluoroquinolones, β-lactam combination agents",1,21879,0.0,M3-022
2015,Escherichia coli,"Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents",1,21879,0.0,M4-030
2016,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",2168,24129,8.99,M4-031
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",2123,24129,8.8,M5-011
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1940,24129,8.04,M6-006
2016,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins",1007,24129,4.17,M3-032
2016,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins",938,24129,3.89,M3-027
2016,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",858,24129,3.56,M5-021
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins",768,24129,3.18,M4-012
2016,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",762,24129,3.16,M4-017
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",686,24129,2.84,M4-014
2016,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins",542,24129,2.25,M3-013
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",514,24129,2.13,M5-013
2016,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins",461,24129,1.91,M3-029
2016,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",371,24129,1.54,M4-033
2016,Escherichia coli,"Folate pathway antagonists, Penicillins, β-lactam combination agents",324,24129,1.34,M3-041
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins",284,24129,1.18,M3-008
2016,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins",255,24129,1.06,M3-011
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",239,24129,0.99,M7-001
2016,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",183,24129,0.76,M4-034
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",151,24129,0.63,M5-014
2016,Escherichia coli,"Cephalosporins, Penicillins, β-lactam combination agents",130,24129,0.54,M3-031
2016,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",124,24129,0.51,M4-035
2016,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",117,24129,0.48,M5-015
2016,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",95,24129,0.39,M6-007
2016,Escherichia coli,"Fluoroquinolones, Penicillins, β-lactam combination agents",89,24129,0.37,M3-039
2016,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents",88,24129,0.36,M4-016
2016,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins, β-lactam combination agents",58,24129,0.24,M4-020
2016,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins, β-lactam combination agents",50,24129,0.21,M4-019
2016,Escherichia coli,"Aminoglycosides, Penicillins, β-lactam combination agents",27,24129,0.11,M3-015
2016,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",16,24129,0.07,M3-010
2016,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",15,24129,0.06,M5-018
2016,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",13,24129,0.05,M6-003
