x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2023,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",23,2821,0.82,M3-038
2023,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",16,2821,0.57,M3-044
2023,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",11,2821,0.39,M3-035
2023,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",4,2821,0.14,M4-040
2023,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides",2,2821,0.07,M3-034
2023,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",2,2821,0.07,M4-036
2023,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins",2,2821,0.07,M3-043
2023,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins",1,2821,0.04,M3-036
2023,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracyclines",1,2821,0.04,M4-039
2024,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",2666,4090,65.18,M4-038
2024,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",477,4090,11.66,M4-037
2024,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",249,4090,6.09,M5-022
2024,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins",243,4090,5.94,M3-037
2024,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",85,4090,2.08,M3-038
2024,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",71,4090,1.74,M3-044
2024,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",19,4090,0.46,M3-035
2024,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins",10,4090,0.24,M3-036
2024,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracyclines",4,4090,0.1,M4-039
2024,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Tetracyclines",3,4090,0.07,M3-040
2024,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins",1,4090,0.02,M3-043
2024,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,4090,0.02,M4-040
2024,Enterococcus faecium,"Glycopeptides, Penicillins, Tetracyclines",1,4090,0.02,M3-045
