"organism_full","year","month","region","Resistant_Drug_Classes","pattern_count","total_rows_in_region_month","percentage","y_beta","month_numeric","sin_month","cos_month","season","season_id","region_id","year_month","time_id","mdr_id_numeric","future_year","fitted_mean","predicted_percent"
"Acinetobacter baumannii",2019,5,9,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",29,339,8.55,0.0855,5,0.5,-0.866025403784439,"summer",1,9,201905,53,4,NA,0.065589387027331,6.5589387027331
"Acinetobacter baumannii",2019,6,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",92,127,72.44,0.7244,6,1.22464679914735e-16,-1,"rainy",2,1,201906,54,1,NA,0.670755228735312,67.0755228735312
"Acinetobacter baumannii",2019,6,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,127,3.94,0.0394,6,1.22464679914735e-16,-1,"rainy",2,1,201906,54,2,NA,0.146497895620222,14.6497895620222
"Acinetobacter baumannii",2019,6,1,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",4,127,3.15,0.0315,6,1.22464679914735e-16,-1,"rainy",2,1,201906,54,3,NA,0.0758188912849231,7.58188912849231
"Acinetobacter baumannii",2019,6,1,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,127,2.36,0.0236,6,1.22464679914735e-16,-1,"rainy",2,1,201906,54,4,NA,0.0702812197349766,7.02812197349766
"Acinetobacter baumannii",2019,6,1,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,127,0.79,0.0079,6,1.22464679914735e-16,-1,"rainy",2,1,201906,54,5,NA,0.0338623218687308,3.38623218687308
"Acinetobacter baumannii",2019,6,10,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",116,167,69.46,0.6946,6,1.22464679914735e-16,-1,"rainy",2,10,201906,54,1,NA,0.703892021000071,70.3892021000071
"Acinetobacter baumannii",2019,6,10,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",16,167,9.58,0.0958,6,1.22464679914735e-16,-1,"rainy",2,10,201906,54,4,NA,0.0810705586323507,8.10705586323507
"Acinetobacter baumannii",2019,6,10,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",15,167,8.98,0.0898,6,1.22464679914735e-16,-1,"rainy",2,10,201906,54,2,NA,0.166882826068739,16.6882826068739
"Acinetobacter baumannii",2019,6,10,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",7,167,4.19,0.0419,6,1.22464679914735e-16,-1,"rainy",2,10,201906,54,3,NA,0.087379541746819,8.7379541746819
"Acinetobacter baumannii",2019,6,11,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",50,107,46.73,0.4673,6,1.22464679914735e-16,-1,"rainy",2,11,201906,54,1,NA,0.656164176708546,65.6164176708546
"Acinetobacter baumannii",2019,6,11,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",21,107,19.63,0.1963,6,1.22464679914735e-16,-1,"rainy",2,11,201906,54,2,NA,0.138518083008927,13.8518083008927
"Acinetobacter baumannii",2019,6,11,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",19,107,17.76,0.1776,6,1.22464679914735e-16,-1,"rainy",2,11,201906,54,4,NA,0.0661318317654059,6.61318317654059
"Acinetobacter baumannii",2019,6,11,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",9,107,8.41,0.0841,6,1.22464679914735e-16,-1,"rainy",2,11,201906,54,3,NA,0.0713674238840413,7.13674238840413
