organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage,y_beta,month_numeric,sin_month,cos_month,season,season_id,region_id,year_month,time_id,mdr_id_numeric
Acinetobacter baumannii,2015,2,12.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,12,8.33,0.0833,2.0,0.8660254037844386,0.5000000000000001,winter,3,12,201502,2,2
Acinetobacter baumannii,2015,2,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",8,19,42.11,0.4211,2.0,0.8660254037844386,0.5000000000000001,winter,3,13,201502,2,1
Acinetobacter baumannii,2015,2,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,19,36.84,0.36840000000000006,2.0,0.8660254037844386,0.5000000000000001,winter,3,13,201502,2,2
Acinetobacter baumannii,2015,2,13.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,19,15.79,0.15789999999999998,2.0,0.8660254037844386,0.5000000000000001,winter,3,13,201502,2,4
Acinetobacter baumannii,2015,2,13.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,19,5.26,0.0526,2.0,0.8660254037844386,0.5000000000000001,winter,3,13,201502,2,3
Acinetobacter baumannii,2015,2,2.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",17,27,62.96,0.6296,2.0,0.8660254037844386,0.5000000000000001,winter,3,2,201502,2,1
Acinetobacter baumannii,2015,2,2.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,27,25.93,0.2593,2.0,0.8660254037844386,0.5000000000000001,winter,3,2,201502,2,2
Acinetobacter baumannii,2015,2,2.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,27,7.41,0.0741,2.0,0.8660254037844386,0.5000000000000001,winter,3,2,201502,2,4
Acinetobacter baumannii,2015,2,2.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,27,3.7,0.037000000000000005,2.0,0.8660254037844386,0.5000000000000001,winter,3,2,201502,2,3
Acinetobacter baumannii,2015,2,4.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",49,62,79.03,0.7903,2.0,0.8660254037844386,0.5000000000000001,winter,3,4,201502,2,1
Acinetobacter baumannii,2015,2,4.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,62,8.06,0.0806,2.0,0.8660254037844386,0.5000000000000001,winter,3,4,201502,2,2
Acinetobacter baumannii,2015,2,4.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,62,3.23,0.0323,2.0,0.8660254037844386,0.5000000000000001,winter,3,4,201502,2,3
Acinetobacter baumannii,2015,2,4.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,62,3.23,0.0323,2.0,0.8660254037844386,0.5000000000000001,winter,3,4,201502,2,4
Acinetobacter baumannii,2015,2,5.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",65,99,65.66,0.6566,2.0,0.8660254037844386,0.5000000000000001,winter,3,5,201502,2,1
