organism_full,year,month,province,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Acinetobacter baumannii,2015,2,สุราษฎร์ธานี,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,14,28.57
Acinetobacter baumannii,2015,2,สุราษฎร์ธานี,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,14,14.29
Acinetobacter baumannii,2015,2,อุดรธานี,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,3,66.67
Acinetobacter baumannii,2015,2,อุดรธานี,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Acinetobacter baumannii,2015,2,เพชรบุรี,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",12,15,80.0
Acinetobacter baumannii,2015,2,เพชรบุรี,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,15,6.67
Acinetobacter baumannii,2015,2,เพชรบุรี,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,15,6.67
Acinetobacter baumannii,2015,2,เพชรบูรณ์,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",17,27,62.96
Acinetobacter baumannii,2015,2,เพชรบูรณ์,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,27,25.93
Acinetobacter baumannii,2015,2,เพชรบูรณ์,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,27,7.41
Acinetobacter baumannii,2015,2,เพชรบูรณ์,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,27,3.7
Acinetobacter baumannii,2015,3,กรุงเทพมหานคร,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",15,19,78.95
Acinetobacter baumannii,2015,3,กรุงเทพมหานคร,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,19,10.53
Acinetobacter baumannii,2015,3,กรุงเทพมหานคร,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,19,10.53
