organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2021,5,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",17,141,12.06
Escherichia coli,2021,5,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",10,141,7.09
Escherichia coli,2021,5,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",7,141,4.96
Escherichia coli,2021,5,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,141,2.84
Escherichia coli,2021,6,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",18,149,12.08
Escherichia coli,2021,6,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",13,149,8.72
Escherichia coli,2021,6,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",12,149,8.05
Escherichia coli,2021,6,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",12,149,8.05
Escherichia coli,2021,6,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",8,149,5.37
Escherichia coli,2021,7,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",19,120,15.83
Escherichia coli,2021,7,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",17,120,14.17
Escherichia coli,2021,7,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",11,120,9.17
Escherichia coli,2021,7,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",7,120,5.83
Escherichia coli,2021,7,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",6,120,5.0
Escherichia coli,2021,8,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",19,109,17.43
Escherichia coli,2021,8,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",10,109,9.17
Escherichia coli,2021,8,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",9,109,8.26
Escherichia coli,2021,8,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",8,109,7.34
Escherichia coli,2021,8,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",5,109,4.59
Escherichia coli,2021,9,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",18,121,14.88
Escherichia coli,2021,9,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",16,121,13.22
Escherichia coli,2021,9,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",10,121,8.26
Escherichia coli,2021,9,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,121,4.96
Escherichia coli,2021,9,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",5,121,4.13
Escherichia coli,2021,10,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",18,111,16.22
Escherichia coli,2021,10,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",10,111,9.01
Escherichia coli,2021,10,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",7,111,6.31
Escherichia coli,2021,10,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",5,111,4.5
Escherichia coli,2021,10,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",3,111,2.7
Escherichia coli,2021,11,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",15,124,12.1
Escherichia coli,2021,11,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",12,124,9.68
Escherichia coli,2021,11,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",11,124,8.87
Escherichia coli,2021,11,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,124,8.87
Escherichia coli,2021,11,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",8,124,6.45
Escherichia coli,2021,12,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",15,108,13.89
Escherichia coli,2021,12,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",15,108,13.89
Escherichia coli,2021,12,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,108,10.19
Escherichia coli,2021,12,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",9,108,8.33
Escherichia coli,2021,12,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",5,108,4.63
Escherichia coli,2022,1,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",18,113,15.93
Escherichia coli,2022,1,icu,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",10,113,8.85
Escherichia coli,2022,1,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",9,113,7.96
Escherichia coli,2022,1,icu,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",9,113,7.96
Escherichia coli,2022,1,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,113,5.31
