Source_Folder,Source_File,organism_full,Resistant_Drug_Classes,Count,Total_Species_In_File,Percentage
By ward type,e_coli_icu.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",119,594,20.03
By ward type,e_coli_icu.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",118,594,19.87
By ward type,e_coli_icu.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",117,594,19.7
By ward type,e_coli_in.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By ward type,e_coli_in.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By ward type,e_coli_in.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By ward type,e_coli_in.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",120,600,20.0
By ward type,e_coli_in.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By ward type,e_coli_out.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By ward type,e_coli_out.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By ward type,e_coli_out.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By ward type,e_coli_out.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",120,600,20.0
By ward type,e_coli_out.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By_specimen,e_coli_ps.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,595,20.17
By_specimen,e_coli_ps.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,595,20.17
By_specimen,e_coli_ps.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",119,595,20.0
By_specimen,e_coli_ps.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",119,595,20.0
By_specimen,e_coli_ps.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",117,595,19.66
By_specimen,e_coli_sp.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,599,20.03
By_specimen,e_coli_sp.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,599,20.03
By_specimen,e_coli_sp.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,599,20.03
By_specimen,e_coli_sp.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",120,599,20.03
By_specimen,e_coli_sp.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",119,599,19.87
By_specimen,e_coli_uc.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",97,415,23.37
By_specimen,e_coli_uc.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",87,415,20.96
By_specimen,e_coli_uc.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",84,415,20.24
By_specimen,e_coli_uc.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",82,415,19.76
By_specimen,e_coli_uc.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",65,415,15.66
By_specimen,e_coli_ur.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By_specimen,e_coli_ur.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By_specimen,e_coli_ur.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By_specimen,e_coli_ur.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",120,600,20.0
By_specimen,e_coli_ur.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By_specimen,e_faecalis_bl.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
By_specimen,e_faecalis_bl.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,3,33.33
By_specimen,e_faecalis_bl.csv,Enterococcus faecalis,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,3,33.33
By ward type,e_faecalis_icu.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",2,3,66.67
By ward type,e_faecalis_icu.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
By ward type,e_faecalis_in.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",9,20,45.0
By ward type,e_faecalis_in.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",4,20,20.0
By ward type,e_faecalis_in.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",4,20,20.0
By ward type,e_faecalis_in.csv,Enterococcus faecalis,"FLUOROQUINOLONES, PHENICOLS, TETRACYCLINES",2,20,10.0
By ward type,e_faecalis_in.csv,Enterococcus faecalis,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,20,5.0
By_specimen,e_faecalis_ot.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
By ward type,e_faecalis_out.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",2,5,40.0
By ward type,e_faecalis_out.csv,Enterococcus faecalis,"MACROLIDES, PHENICOLS, TETRACYCLINES",2,5,40.0
By ward type,e_faecalis_out.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
By_specimen,e_faecalis_ps.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",2,3,66.67
By_specimen,e_faecalis_ps.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,3,33.33
By_specimen,e_faecalis_ur.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,31,32.26
By_specimen,e_faecalis_ur.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",8,31,25.81
By_specimen,e_faecalis_ur.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",6,31,19.35
By_specimen,e_faecalis_ur.csv,Enterococcus faecalis,"MACROLIDES, PHENICOLS, TETRACYCLINES",4,31,12.9
By_specimen,e_faecalis_ur.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",3,31,9.68
By_specimen,e_faecium_bl.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,6,50.0
By_specimen,e_faecium_bl.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,6,33.33
By_specimen,e_faecium_bl.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,6,16.67
By_specimen,e_faecium_fl.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
By ward type,e_faecium_icu.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
By ward type,e_faecium_icu.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
By ward type,e_faecium_icu.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
By ward type,e_faecium_in.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",8,18,44.44
By ward type,e_faecium_in.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,18,22.22
By ward type,e_faecium_in.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,18,22.22
By ward type,e_faecium_in.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS",2,18,11.11
By_specimen,e_faecium_ps.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",2,3,66.67
By_specimen,e_faecium_ps.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
By_specimen,e_faecium_sp.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
By_specimen,e_faecium_ur.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,23,43.48
By_specimen,e_faecium_ur.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,23,17.39
By_specimen,e_faecium_ur.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,23,17.39
By_specimen,e_faecium_ur.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",3,23,13.04
By_specimen,e_faecium_ur.csv,Enterococcus faecium,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,23,8.7
All Data,enterococcus_faecalis.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,34,29.41
All Data,enterococcus_faecalis.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",8,34,23.53
All Data,enterococcus_faecalis.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",7,34,20.59
All Data,enterococcus_faecalis.csv,Enterococcus faecalis,"MACROLIDES, PHENICOLS, TETRACYCLINES",5,34,14.71
All Data,enterococcus_faecalis.csv,Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,34,11.76
All Data,enterococcus_faecium.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",14,31,45.16
All Data,enterococcus_faecium.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,31,22.58
All Data,enterococcus_faecium.csv,Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",5,31,16.13
All Data,enterococcus_faecium.csv,Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",3,31,9.68
All Data,enterococcus_faecium.csv,Enterococcus faecium,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,31,6.45
All Data,escherichia_coli.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
All Data,escherichia_coli.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
All Data,escherichia_coli.csv,Escherichia coli,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
All Data,escherichia_coli.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
All Data,escherichia_coli.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By_specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",119,574,20.73
By_specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",119,574,20.73
By_specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",116,574,20.21
By_specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",111,574,19.34
By_specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",109,574,18.99
By ward type,k_pneumoniae_icu.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,589,20.37
By ward type,k_pneumoniae_icu.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,589,20.37
By ward type,k_pneumoniae_icu.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",119,589,20.2
By ward type,k_pneumoniae_icu.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",118,589,20.03
By ward type,k_pneumoniae_icu.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",112,589,19.02
