Source_Folder,Source_File,Bacteria_Name,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
By ward type,e_faecalis_out.csv,E Faecalis Out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By ward type,e_faecalis_out.csv,E Faecalis Out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By ward type,e_faecalis_out.csv,E Faecalis Out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By ward type,e_faecium_icu.csv,E Faecium Icu,"FLUOROQUINOLONES, GLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",SARIMA,100.0,100.0,ARIMA
By ward type,e_faecium_icu.csv,E Faecium Icu,"FLUOROQUINOLONES, GLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By ward type,e_faecium_icu.csv,E Faecium Icu,"FLUOROQUINOLONES, GLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By ward type,e_faecium_icu.csv,E Faecium Icu,"FLUOROQUINOLONES, GLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By ward type,e_faecium_icu.csv,E Faecium Icu,"FLUOROQUINOLONES, GLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",SARIMA,100.0,100.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",SARIMA,100.0,100.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"MACROLIDES, PHENICOLS, TETRACYCLINES",SARIMA,100.0,100.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"MACROLIDES, PHENICOLS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"MACROLIDES, PHENICOLS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"MACROLIDES, PHENICOLS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By_specimen,e_faecalis_bl.csv,E Faecalis Bl,"MACROLIDES, PHENICOLS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By_specimen,e_faecalis_ot.csv,E Faecalis Ot,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",SARIMA,100.0,100.0,ARIMA
By_specimen,e_faecalis_ot.csv,E Faecalis Ot,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By_specimen,e_faecalis_ot.csv,E Faecalis Ot,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",TES,0.0,0.0,ARIMA
By_specimen,e_faecalis_ot.csv,E Faecalis Ot,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",SES,0.0,0.0,ARIMA
By_specimen,e_faecalis_ot.csv,E Faecalis Ot,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By_specimen,e_faecalis_ps.csv,E Faecalis Ps,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",SARIMA,50.0,100.0,ARIMA
By_specimen,e_faecalis_ps.csv,E Faecalis Ps,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By_specimen,e_faecalis_ps.csv,E Faecalis Ps,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By_specimen,e_faecalis_ps.csv,E Faecalis Ps,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By_specimen,e_faecalis_ps.csv,E Faecalis Ps,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By_specimen,e_faecium_bl.csv,E Faecium Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",SARIMA,100.0,100.0,ARIMA
By_specimen,e_faecium_bl.csv,E Faecium Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",ARIMA,0.0,0.0,ARIMA
By_specimen,e_faecium_bl.csv,E Faecium Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",TES,0.0,0.0,ARIMA
By_specimen,e_faecium_bl.csv,E Faecium Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",SES,0.0,0.0,ARIMA
By_specimen,e_faecium_bl.csv,E Faecium Bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",XGBoost,0.0,0.0,ARIMA
