Bacteria,Ward_Type,Resistant_Drug_Classes,ACF_Lag12,Seasonal_Strength,Has_Seasonality_ACF,Has_Seasonality_Strength
S aureus icu,icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",0.6367428180194425,0.0,True,False
S aureus icu,icu,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.621472147347764,0.04516383579069383,True,False
S aureus icu,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",0.30073614147905775,0.0,False,False
S aureus in,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.1472137888912472,0.0,False,False
S aureus in,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",0.10100111796527855,0.0,False,False
S aureus in,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",0.11651145467022052,0.0,False,False
S aureus in,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.25710479114294327,0.002573026776694798,False,False
S aureus in,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",0.24845847305329488,0.05866275387494002,False,False
S aureus out,out,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.2073636317906623,0.010044675360801003,False,False
S aureus out,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",0.428396909368798,0.012421237951450004,False,False
S aureus out,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",0.5068930223445636,0.07604817986169299,True,False
S aureus out,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.21017265146127273,0.01491787632722108,False,False
S aureus out,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",0.13107579771886155,0.0,False,False
