organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa ,2020,12,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,55,1.82
Pseudomonas aeruginosa ,2021,1,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",48,143,33.57
Pseudomonas aeruginosa ,2021,1,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",20,143,13.99
Pseudomonas aeruginosa ,2021,1,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",17,143,11.89
Pseudomonas aeruginosa ,2021,1,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",16,143,11.19
Pseudomonas aeruginosa ,2021,1,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",14,143,9.79
Pseudomonas aeruginosa ,2021,2,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",50,116,43.1
Pseudomonas aeruginosa ,2021,2,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",17,116,14.66
Pseudomonas aeruginosa ,2021,2,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",11,116,9.48
Pseudomonas aeruginosa ,2021,2,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",10,116,8.62
Pseudomonas aeruginosa ,2021,2,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",7,116,6.03
Pseudomonas aeruginosa ,2021,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",47,109,43.12
Pseudomonas aeruginosa ,2021,3,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",13,109,11.93
Pseudomonas aeruginosa ,2021,3,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",12,109,11.01
Pseudomonas aeruginosa ,2021,3,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",11,109,10.09
Pseudomonas aeruginosa ,2021,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",10,109,9.17
Pseudomonas aeruginosa ,2021,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",70,125,56.0
Pseudomonas aeruginosa ,2021,4,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",14,125,11.2
Pseudomonas aeruginosa ,2021,4,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",11,125,8.8
Pseudomonas aeruginosa ,2021,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",10,125,8.0
Pseudomonas aeruginosa ,2021,4,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",5,125,4.0
Pseudomonas aeruginosa ,2021,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",63,128,49.22
Pseudomonas aeruginosa ,2021,5,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",13,128,10.16
Pseudomonas aeruginosa ,2021,5,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",13,128,10.16
Pseudomonas aeruginosa ,2021,5,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",10,128,7.81
Pseudomonas aeruginosa ,2021,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",6,128,4.69
Pseudomonas aeruginosa ,2021,6,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",37,111,33.33
Pseudomonas aeruginosa ,2021,6,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",15,111,13.51
