organism_full,year,month,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Staphylococcus aureus,2019,12,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,5,60.0
Staphylococcus aureus,2020,1,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",11,69,15.94
Staphylococcus aureus,2020,1,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",10,69,14.49
Staphylococcus aureus,2020,1,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,69,7.25
Staphylococcus aureus,2020,1,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,69,7.25
Staphylococcus aureus,2020,1,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,69,4.35
Staphylococcus aureus,2020,2,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",8,70,11.43
Staphylococcus aureus,2020,2,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",8,70,11.43
Staphylococcus aureus,2020,2,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,70,8.57
Staphylococcus aureus,2020,2,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,70,5.71
Staphylococcus aureus,2020,2,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,70,2.86
Staphylococcus aureus,2020,3,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",11,70,15.71
Staphylococcus aureus,2020,3,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",10,70,14.29
Staphylococcus aureus,2020,3,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,70,14.29
Staphylococcus aureus,2020,3,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,70,10.0
Staphylococcus aureus,2020,3,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,70,1.43
Staphylococcus aureus,2020,4,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",8,47,17.02
Staphylococcus aureus,2020,4,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,47,12.77
Staphylococcus aureus,2020,4,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,47,10.64
Staphylococcus aureus,2020,4,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",5,47,10.64
Staphylococcus aureus,2020,4,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,47,4.26
Staphylococcus aureus,2020,5,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",9,69,13.04
Staphylococcus aureus,2020,5,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",7,69,10.14
Staphylococcus aureus,2020,5,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,69,8.7
Staphylococcus aureus,2020,5,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,69,5.8
Staphylococcus aureus,2020,5,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,69,4.35
Staphylococcus aureus,2020,6,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,57,17.54
Staphylococcus aureus,2020,6,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,57,10.53
Staphylococcus aureus,2020,6,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,57,8.77
Staphylococcus aureus,2020,6,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",4,57,7.02
Staphylococcus aureus,2020,6,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,57,5.26
Staphylococcus aureus,2020,7,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",15,62,24.19
Staphylococcus aureus,2020,7,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,62,9.68
Staphylococcus aureus,2020,7,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,62,8.06
Staphylococcus aureus,2020,7,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,62,4.84
Staphylococcus aureus,2020,7,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,62,1.61
Staphylococcus aureus,2020,8,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",9,59,15.25
Staphylococcus aureus,2020,8,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",7,59,11.86
Staphylococcus aureus,2020,8,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",5,59,8.47
Staphylococcus aureus,2020,8,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,59,6.78
Staphylococcus aureus,2020,8,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,59,5.08
Staphylococcus aureus,2020,9,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",6,44,13.64
Staphylococcus aureus,2020,9,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,44,6.82
Staphylococcus aureus,2020,9,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,44,6.82
Staphylococcus aureus,2020,9,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,44,4.55
Staphylococcus aureus,2020,9,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,44,2.27
Staphylococcus aureus,2020,10,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",9,49,18.37
Staphylococcus aureus,2020,10,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",8,49,16.33
Staphylococcus aureus,2020,10,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,49,14.29
Staphylococcus aureus,2020,10,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,49,8.16
Staphylococcus aureus,2020,10,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,49,2.04
Staphylococcus aureus,2020,11,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,64,15.62
Staphylococcus aureus,2020,11,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",8,64,12.5
Staphylococcus aureus,2020,11,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,64,9.38
Staphylococcus aureus,2020,11,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",5,64,7.81
Staphylococcus aureus,2020,11,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,64,1.56
Staphylococcus aureus,2020,12,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",8,46,17.39
Staphylococcus aureus,2020,12,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",6,46,13.04
Staphylococcus aureus,2020,12,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,46,10.87
Staphylococcus aureus,2020,12,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,46,8.7
Staphylococcus aureus,2020,12,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,46,2.17
Staphylococcus aureus,2021,1,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",11,55,20.0
Staphylococcus aureus,2021,1,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",8,55,14.55
Staphylococcus aureus,2021,1,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",8,55,14.55
Staphylococcus aureus,2021,1,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",7,55,12.73
Staphylococcus aureus,2021,1,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,55,1.82
Staphylococcus aureus,2021,2,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,49,14.29
Staphylococcus aureus,2021,2,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,49,12.24
Staphylococcus aureus,2021,2,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",6,49,12.24
Staphylococcus aureus,2021,2,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,49,8.16
Staphylococcus aureus,2021,2,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,49,4.08
Staphylococcus aureus,2021,3,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",9,53,16.98
Staphylococcus aureus,2021,3,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",8,53,15.09
Staphylococcus aureus,2021,3,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,53,5.66
Staphylococcus aureus,2021,3,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,53,3.77
Staphylococcus aureus,2021,3,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,53,3.77
Staphylococcus aureus,2021,4,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",9,60,15.0
Staphylococcus aureus,2021,4,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",9,60,15.0
Staphylococcus aureus,2021,4,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,60,11.67
Staphylococcus aureus,2021,4,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",6,60,10.0
Staphylococcus aureus,2021,4,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,60,5.0
