organism,antibiotic,result,total_count
Citrobacter freundii,amikacin,S,7958
Citrobacter freundii,amoxicillin/clavulanic acid,R,9642
Citrobacter freundii,ampicillin,R,8346
Citrobacter freundii,ampicillin/sulbactam,R,2792
Citrobacter freundii,cefazolin,R,3824
Citrobacter freundii,cefepime,I,20
Citrobacter freundii,cefepime,R,833
Citrobacter freundii,cefepime,S,4165
Citrobacter freundii,cefoperazone/sulbactam,I,19
Citrobacter freundii,cefoperazone/sulbactam,R,50
Citrobacter freundii,cefoperazone/sulbactam,S,345
Citrobacter freundii,cefotaxime,I,259
Citrobacter freundii,cefotaxime,R,2865
Citrobacter freundii,cefotaxime,S,6184
Citrobacter freundii,cefoxitin,R,5672
Citrobacter freundii,ceftazidime,I,353
Citrobacter freundii,ceftazidime,R,2995
Citrobacter freundii,ceftazidime,S,8019
Citrobacter freundii,ceftriaxone,I,130
Citrobacter freundii,ceftriaxone,R,2638
Citrobacter freundii,ceftriaxone,S,6031
Citrobacter freundii,cefuroxime,R,3896
Citrobacter freundii,chloramphenicol,I,3
Citrobacter freundii,chloramphenicol,R,9
Citrobacter freundii,chloramphenicol,S,74
Citrobacter freundii,ciprofloxacin,I,1185
Citrobacter freundii,ciprofloxacin,R,2970
Citrobacter freundii,ciprofloxacin,S,7178
Citrobacter freundii,clindamycin,R,17
Citrobacter freundii,colistin,I,3049
Citrobacter freundii,colistin,R,102
Citrobacter freundii,colistin,S,33
Citrobacter freundii,ertapenem,I,76
Citrobacter freundii,ertapenem,R,600
Citrobacter freundii,ertapenem,S,7368
Citrobacter freundii,erythromycin,R,15
Citrobacter freundii,fosfomycin,R,8
Citrobacter freundii,fosfomycin,S,65
Citrobacter freundii,gentamicin,I,479
Citrobacter freundii,gentamicin,R,1728
Citrobacter freundii,gentamicin,S,8763
Citrobacter freundii,gentamicin high,S,3
Citrobacter freundii,imipenem,I,298
Citrobacter freundii,imipenem,R,690
Citrobacter freundii,imipenem,S,8830
Citrobacter freundii,levofloxacin,I,287
Citrobacter freundii,levofloxacin,R,1264
Citrobacter freundii,levofloxacin,S,3600
Citrobacter freundii,meropenem,I,63
Citrobacter freundii,meropenem,R,759
Citrobacter freundii,meropenem,S,10502
Citrobacter freundii,nitrofurantoin,I,21
Citrobacter freundii,nitrofurantoin,R,28
Citrobacter freundii,nitrofurantoin,S,379
Citrobacter freundii,norfloxacin,I,42
Citrobacter freundii,norfloxacin,R,399
Citrobacter freundii,norfloxacin,S,1126
Citrobacter freundii,piperacillin/tazobactam,I,93
Citrobacter freundii,piperacillin/tazobactam,R,1778
Citrobacter freundii,piperacillin/tazobactam,S,6794
Citrobacter freundii,teicoplanin,R,13
Citrobacter freundii,tetracycline,I,10
Citrobacter freundii,tetracycline,R,187
Citrobacter freundii,tetracycline,S,287
Citrobacter freundii,trimethoprim/sulfamethoxazole,I,54
Citrobacter freundii,trimethoprim/sulfamethoxazole,R,2959
Citrobacter freundii,trimethoprim/sulfamethoxazole,S,7849
Citrobacter freundii,vancomycin,R,17
Enterobacter cloacae,amikacin,I,6680
Enterobacter cloacae,amikacin,R,2657
Enterobacter cloacae,amikacin,S,51528
Enterobacter cloacae,amoxicillin/clavulanic acid,R,66616
Enterobacter cloacae,ampicillin,R,50065
Enterobacter cloacae,ampicillin/sulbactam,R,15723
Enterobacter cloacae,cefazolin,R,25028
Enterobacter cloacae,cefepime,I,151
Enterobacter cloacae,cefepime,R,6369
Enterobacter cloacae,cefepime,S,25297
Enterobacter cloacae,cefoperazone/sulbactam,I,195
Enterobacter cloacae,cefoperazone/sulbactam,R,515
Enterobacter cloacae,cefoperazone/sulbactam,S,3498
Enterobacter cloacae,cefotaxime,I,1547
Enterobacter cloacae,cefotaxime,R,19337
Enterobacter cloacae,cefotaxime,S,35564
Enterobacter cloacae,cefoxitin,R,34571
Enterobacter cloacae,ceftazidime,I,2280
Enterobacter cloacae,ceftazidime,R,21807
Enterobacter cloacae,ceftazidime,S,49548
Enterobacter cloacae,ceftriaxone,I,668
Enterobacter cloacae,ceftriaxone,R,20626
Enterobacter cloacae,ceftriaxone,S,39475
Enterobacter cloacae,cefuroxime,I,1898
Enterobacter cloacae,cefuroxime,R,11142
Enterobacter cloacae,cefuroxime,S,8471
Enterobacter cloacae,chloramphenicol,I,27
Enterobacter cloacae,chloramphenicol,R,84
Enterobacter cloacae,chloramphenicol,S,542
