organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Staphylococcus aureus,2021,10,5.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,13,15.38
Staphylococcus aureus,2021,10,5.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,13,7.69
Staphylococcus aureus,2021,10,5.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,13,7.69
Staphylococcus aureus,2021,10,7.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,9,22.22
Staphylococcus aureus,2021,10,7.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2021,11,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2021,11,11.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2021,11,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,7,14.29
Staphylococcus aureus,2021,11,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,7,14.29
Staphylococcus aureus,2021,11,13.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,7,14.29
Staphylococcus aureus,2021,11,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2021,11,5.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,9,33.33
Staphylococcus aureus,2021,11,5.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,9,22.22
Staphylococcus aureus,2021,11,5.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,9,11.11
Staphylococcus aureus,2021,11,6.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,6,33.33
Staphylococcus aureus,2021,11,6.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,6,16.67
Staphylococcus aureus,2021,11,6.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2021,11,7.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2021,12,12.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2021,12,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,6,33.33
Staphylococcus aureus,2021,12,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,6,16.67
Staphylococcus aureus,2021,12,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,7,57.14
Staphylococcus aureus,2021,12,5.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,13,23.08
Staphylococcus aureus,2021,12,5.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,13,23.08
Staphylococcus aureus,2021,12,5.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,13,7.69
Staphylococcus aureus,2021,12,5.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,13,7.69
Staphylococcus aureus,2021,12,6.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,8,37.5
Staphylococcus aureus,2021,12,7.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,7,28.57
Staphylococcus aureus,2021,12,7.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,7,14.29
Staphylococcus aureus,2021,12,7.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,7,14.29
Staphylococcus aureus,2022,1,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,3,33.33
Staphylococcus aureus,2022,1,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Staphylococcus aureus,2022,1,6.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,1,7.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,1,8.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,4,50.0
Staphylococcus aureus,2022,2,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2022,2,6.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Staphylococcus aureus,2022,2,8.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,1,100.0
Staphylococcus aureus,2022,3,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,1,100.0
Staphylococcus aureus,2022,4,10.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,1,100.0
Staphylococcus aureus,2022,4,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,4,75.0
Staphylococcus aureus,2022,4,13.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2022,4,7.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,5,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,3,100.0
Staphylococcus aureus,2022,5,7.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2022,5,7.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2022,6,1.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,6,5.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,2,100.0
Staphylococcus aureus,2022,6,8.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,7,5.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,3,33.33
Staphylococcus aureus,2022,7,5.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2022,7,6.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,8,1.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2022,8,11.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,2,100.0
Staphylococcus aureus,2022,8,5.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2022,8,6.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Staphylococcus aureus,2022,8,7.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,2,50.0
Staphylococcus aureus,2022,9,1.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,9,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2022,9,5.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,2,100.0
Staphylococcus aureus,2022,9,7.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,10,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,11,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2022,11,5.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,3,66.67
Staphylococcus aureus,2022,11,7.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,3,66.67
Staphylococcus aureus,2022,11,7.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2022,12,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
