organism_full,year,month,province,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Staphylococcus aureus,2020,2,นครปฐม,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2020,2,พิจิตร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,3,66.67
Staphylococcus aureus,2020,2,ราชบุรี,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2020,2,ราชบุรี,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,2,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2020,2,สมุทรปราการ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,10,20.0
Staphylococcus aureus,2020,2,สมุทรปราการ,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,10,20.0
Staphylococcus aureus,2020,2,สมุทรสาคร,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2020,2,สมุทรสาคร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,2,เลย,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2020,3,กรุงเทพมหานคร,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,12,41.67
Staphylococcus aureus,2020,3,กรุงเทพมหานคร,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,12,8.33
Staphylococcus aureus,2020,3,กรุงเทพมหานคร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,12,8.33
Staphylococcus aureus,2020,3,กาฬสินธุ์,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2020,3,กาฬสินธุ์,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2020,3,ขอนแก่น,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,6,33.33
Staphylococcus aureus,2020,3,ขอนแก่น,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2020,3,ชุมพร,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,7,28.57
Staphylococcus aureus,2020,3,ชุมพร,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,7,14.29
Staphylococcus aureus,2020,3,นครปฐม,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,6,33.33
Staphylococcus aureus,2020,3,น่าน,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,3,66.67
Staphylococcus aureus,2020,3,พิจิตร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,4,75.0
Staphylococcus aureus,2020,3,พิจิตร,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2020,3,ราชบุรี,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
