list_tested_classes,count_tested_classes,isolate_count
"Cephalosporins, Fluoroquinolones, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,21
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",7,21
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,20
"Aminoglycosides, Cephalosporins, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",7,19
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",7,19
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",7,19
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins, β-lactam combination agents",7,18
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins",7,18
"Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,18
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides",7,17
"Carbapenems, Fluoroquinolones, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,17
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Tetracycline, Tetracyclines",7,16
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Tetracycline, Tetracyclines",7,16
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Phenicol, Tetracycline, Tetracyclines",7,16
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, Tetracycline, Tetracyclines",7,16
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Phenicol, Tetracycline, Tetracyclines",7,16
"Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",7,16
"Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,16
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins",7,15
"Aminoglycosides, Fluoroquinolones, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,15
"Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, Macrolides, Tetracycline, Tetracyclines",7,15
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Macrolides, Tetracycline, Tetracyclines",7,15
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Phenicol",7,15
"Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,15
"Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,15
"Aminoglycosides, Carbapenems, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,14
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Phenicol",7,14
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Tetracycline, Tetracyclines",7,14
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Tetracycline, Tetracyclines",7,14
"Carbapenems, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,14
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Tetracycline, Tetracyclines",7,13
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Phenicol, Tetracycline, Tetracyclines",7,13
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol",7,13
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Phenicol, Tetracycline, Tetracyclines",7,12
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, β-lactam combination agents",7,12
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Phenicol",7,12
"Aminoglycosides, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,12
"Aminoglycosides, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",7,12
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,12
"Aminoglycosides, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,12
"Aminoglycosides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,12
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides",7,11
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Macrolides, Penicillins, β-lactam combination agents",7,11
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,11
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,11
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",7,11
"Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,11
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",7,11
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,11
"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins, Phenicol, β-lactam combination agents",7,10
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,10
"Aminoglycosides, Cephalosporins, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,10
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol",7,10
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",7,10
"Carbapenems, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines",7,10
"Carbapenems, Glycopeptides, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,10
"Cephalosporins, Fluoroquinolones, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,10
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,9
"Carbapenems, Cephalosporins, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,9
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol",7,8
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Phenicol",7,8
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, β-lactam combination agents",7,8
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,8
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol",7,8
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol",7,8
"Aminoglycosides, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,8
"Aminoglycosides, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,8
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins, β-lactam combination agents",7,8
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins, Phenicol",7,8
"Carbapenems, Cephalosporins, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,8
"Carbapenems, Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,8
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, Tetracycline, Tetracyclines",7,7
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins, β-lactam combination agents",7,7
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Phenicol",7,7
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins",7,7
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",7,7
"Aminoglycosides, Cephalosporins, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,7
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Phenicol",7,7
"Aminoglycosides, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,7
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,7
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins",7,7
"Carbapenems, Fluoroquinolones, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,7
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Phenicol, Tetracycline, Tetracyclines",7,7
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",7,7
"Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,7
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins",7,6
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",7,6
"Aminoglycosides, Cephalosporins, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,6
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,6
"Aminoglycosides, Glycopeptides, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,6
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, β-lactam combination agents",7,6
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins",7,6
"Carbapenems, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",7,6
"Cephalosporins, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,6
"Fluoroquinolones, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,6
"Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,6
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides",7,5
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins",7,5
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Phenicol",7,5
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides",7,5
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",7,5
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Tetracycline, Tetracyclines",7,5
"Aminoglycosides, Cephalosporins, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,5
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Phenicol",7,5
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",7,5
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",7,5
"Aminoglycosides, Glycopeptides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,5
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Tetracycline, Tetracyclines",7,5
"Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins, Tetracycline, Tetracyclines",7,5
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, β-lactam combination agents",7,5
"Carbapenems, Cephalosporins, Glycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,5
"Carbapenems, Cephalosporins, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,5
"Carbapenems, Cephalosporins, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,5
"Carbapenems, Fluoroquinolones, Glycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,5
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Phenicol",7,5
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Phenicol, Tetracycline, Tetracyclines",7,5
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,5
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,5
"Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,5
"Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,5
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins, β-lactam combination agents",7,4
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",7,4
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",7,4
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Phenicol",7,4
"Aminoglycosides, Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",7,4
"Aminoglycosides, Cephalosporins, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",7,4
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Phenicol, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",7,4
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,4
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins",7,4
"Carbapenems, Cephalosporins, Glycopeptides, Lincosamides, Phenicol, Tetracycline, Tetracyclines",7,4
"Carbapenems, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines",7,4
"Cephalosporins, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,4
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Phenicol, Tetracycline, Tetracyclines",7,4
"Cephalosporins, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,4
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,4
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",7,4
"Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,4
"Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,4
"Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,4
"Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,4
"Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,4
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, β-lactam combination agents",7,3
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Phenicol, β-lactam combination agents",7,3
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides",7,3
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins",7,3
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Tetracycline, Tetracyclines",7,3
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol",7,3
"Aminoglycosides, Cephalosporins, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",7,3
"Aminoglycosides, Cephalosporins, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,3
"Aminoglycosides, Cephalosporins, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,3
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,3
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,3
"Aminoglycosides, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,3
"Carbapenems, Cephalosporins, Fluoroquinolones, Macrolides, Penicillins, Tetracycline, Tetracyclines",7,3
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol",7,3
"Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",7,3
"Carbapenems, Cephalosporins, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,3
"Carbapenems, Cephalosporins, Lipopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,3
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,3
"Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,3
"Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,3
"Cephalosporins, Folate pathway antagonists, Lincosamides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,3
"Cephalosporins, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,3
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,3
"Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",7,3
"Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",7,3
"Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,3
"Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,3
"Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,3
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins",7,2
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol",7,2
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Phenicol",7,2
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",7,2
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,2
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Phenicol",7,2
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, β-lactam combination agents",7,2
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,2
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",7,2
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Macrolides, Penicillins, Phenicol, β-lactam combination agents",7,2
"Aminoglycosides, Cephalosporins, Lincosamides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",7,2
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Phenicol",7,2
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol",7,2
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",7,2
"Aminoglycosides, Fluoroquinolones, Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,2
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,2
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",7,2
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides",7,2
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Macrolides, Tetracycline, Tetracyclines",7,2
"Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol",7,2
"Carbapenems, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",7,2
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides, Tetracycline, Tetracyclines",7,2
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",7,2
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Phenicol, β-lactam combination agents",7,2
"Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,2
"Cephalosporins, Fluoroquinolones, Lincosamides, Macrolides, Penicillins, Phenicol, β-lactam combination agents",7,2
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,2
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol",7,2
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Phenicol, Tetracycline, Tetracyclines",7,2
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",7,2
"Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",7,2
"Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",7,2
"Folate pathway antagonists, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",7,2
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipopeptides, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipoglycopeptides, Penicillins, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Macrolides, Penicillins, Phenicol",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Macrolides, Penicillins, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Lincosamides, Tetracycline, Tetracyclines, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Tetracycline, Tetracyclines, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Penicillins, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Phenicol, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol, β-lactam combination agents",7,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Phenicol, Tetracycline, Tetracyclines",7,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins",7,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,1
