list_tested_classes,count_tested_classes,isolate_count
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides",3,29
"Carbapenems, Tetracycline, Tetracyclines",3,26
"Fluoroquinolones, Folate pathway antagonists, Phenicol",3,26
"Aminoglycosides, Tetracycline, Tetracyclines",3,22
"Macrolides, Penicillins, β-lactam combination agents",3,22
"Glycopeptides, Lincosamides, Phenicol",3,20
"Aminoglycosides, Lincosamides, Penicillins",3,19
"Phenicol, Tetracycline, Tetracyclines",3,19
"Aminoglycosides, Fluoroquinolones, Lipoglycopeptides",3,18
"Aminoglycosides, Fluoroquinolones, Lipopeptides",3,17
"Carbapenems, Lipopeptides, β-lactam combination agents",3,16
"Aminoglycosides, Carbapenems, Lipopeptides",3,14
"Aminoglycosides, Lipopeptides, β-lactam combination agents",3,14
"Fluoroquinolones, Lincosamides, Penicillins",3,14
"Carbapenems, Folate pathway antagonists, Lipopeptides",3,13
"Cephalosporins, Macrolides, Phenicol",3,13
"Carbapenems, Cephalosporins, Glycopeptides",3,12
"Aminoglycosides, Folate pathway antagonists, Lipoglycopeptides",3,11
"Aminoglycosides, Glycopeptides, Lincosamides",3,11
"Cephalosporins, Fluoroquinolones, Phenicol",3,11
"Cephalosporins, Folate pathway antagonists, Glycopeptides",3,11
"Cephalosporins, Lincosamides, Phenicol",3,10
"Fluoroquinolones, Folate pathway antagonists, Lincosamides",3,10
"Fluoroquinolones, Glycopeptides, Lipoglycopeptides",3,10
"Aminoglycosides, Folate pathway antagonists, Glycopeptides",3,9
"Aminoglycosides, Glycopeptides, Macrolides",3,9
"Aminoglycosides, Folate pathway antagonists, Lipopeptides",3,8
"Aminoglycosides, Fluoroquinolones, Lincosamides",3,7
"Fluoroquinolones, Macrolides, Phenicol",3,6
"Aminoglycosides, Cephalosporins, Glycopeptides",3,5
"Aminoglycosides, Folate pathway antagonists, Phenicol",3,5
"Fluoroquinolones, Glycopeptides, Phenicol",3,5
"Glycopeptides, Lipoglycopeptides, Macrolides",3,5
"Carbapenems, Fluoroquinolones, Phenicol",3,4
"Carbapenems, Folate pathway antagonists, Phenicol",3,4
"Carbapenems, Glycopeptides, Lincosamides",3,4
"Carbapenems, Penicillins, Phenicol",3,4
"Fluoroquinolones, Lipoglycopeptides, Macrolides",3,4
"Folate pathway antagonists, Macrolides, Phenicol",3,4
"Aminoglycosides, Lipoglycopeptides, Phenicol",3,3
"Aminoglycosides, Penicillins, Phenicol",3,3
"Carbapenems, Fluoroquinolones, Lincosamides",3,3
"Carbapenems, Folate pathway antagonists, Glycopeptides",3,3
"Carbapenems, Lincosamides, Penicillins",3,3
"Cephalosporins, Folate pathway antagonists, Lipopeptides",3,3
"Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides",3,3
"Lincosamides, Penicillins, β-lactam combination agents",3,3
"Lipoglycopeptides, Penicillins, Phenicol",3,3
"Aminoglycosides, Carbapenems, Penicillins",3,2
"Aminoglycosides, Fluoroquinolones, Phenicol",3,2
"Aminoglycosides, Glycopeptides, Lipoglycopeptides",3,2
"Aminoglycosides, Lipoglycopeptides, Macrolides",3,2
"Aminoglycosides, Lipopeptides, Penicillins",3,2
"Aminoglycosides, Phenicol, β-lactam combination agents",3,2
"Carbapenems, Cephalosporins, Macrolides",3,2
"Carbapenems, Lincosamides, Macrolides",3,2
"Carbapenems, Macrolides, Penicillins",3,2
"Fluoroquinolones, Folate pathway antagonists, Lipopeptides",3,2
"Fluoroquinolones, Lincosamides, Phenicol",3,2
"Folate pathway antagonists, Lipoglycopeptides, Penicillins",3,2
"Glycopeptides, Penicillins, β-lactam combination agents",3,2
"Lipoglycopeptides, Tetracycline, Tetracyclines",3,2
"Aminoglycosides, Lincosamides, Phenicol",3,1
"Carbapenems, Cephalosporins, Lincosamides",3,1
"Carbapenems, Fluoroquinolones, Glycopeptides",3,1
"Carbapenems, Lincosamides, β-lactam combination agents",3,1
"Carbapenems, Phenicol, β-lactam combination agents",3,1
"Cephalosporins, Lipoglycopeptides, Penicillins",3,1
"Folate pathway antagonists, Lincosamides, Phenicol",3,1
"Folate pathway antagonists, Lipoglycopeptides, Macrolides",3,1
"Glycopeptides, Lincosamides, Lipoglycopeptides",3,1
"Glycopeptides, Lipopeptides, Penicillins",3,1
"Lincosamides, Lipoglycopeptides, Macrolides",3,1
"Lipopeptides, Penicillins, β-lactam combination agents",3,1
"Penicillins, Phenicol, β-lactam combination agents",3,1
"Tetracycline, Tetracyclines, β-lactam combination agents",3,1
"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",4,34936
"Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides",4,25672
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Penicillins",4,22054
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",4,20745
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",4,15617
"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents",4,13512
"Cephalosporins, Glycopeptides, Lincosamides, Macrolides",4,11603
"Glycopeptides, Lincosamides, Macrolides, Penicillins",4,10211
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",4,9561
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Macrolides",4,8324
"Glycopeptides, Penicillins, Tetracycline, Tetracyclines",4,7506
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4,6336
"Aminoglycosides, Carbapenems, Fluoroquinolones, β-lactam combination agents",4,6335
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4,5736
"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents",4,5662
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists",4,5476
"Cephalosporins, Lincosamides, Macrolides, Penicillins",4,5332
"Folate pathway antagonists, Lincosamides, Macrolides, Penicillins",4,4662
"Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",4,3975
"Glycopeptides, Macrolides, Penicillins, Phenicol",4,3369
"Lincosamides, Macrolides, Penicillins, Phenicol",4,2806
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,2690
"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",4,2669
"Aminoglycosides, Cephalosporins, Lincosamides, Macrolides",4,2524
"Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides",4,2433
"Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Penicillins",4,2405
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",4,2095
"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents",4,2022
"Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines",4,2000
"Cephalosporins, Glycopeptides, Macrolides, Penicillins",4,1965
"Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides",4,1857
"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",4,1762
"Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins",4,1739
"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",4,1684
"Aminoglycosides, Carbapenems, Folate pathway antagonists, β-lactam combination agents",4,1637
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Macrolides",4,1599
"Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol",4,1418
"Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines",4,1397
"Fluoroquinolones, Lincosamides, Macrolides, Penicillins",4,1392
"Cephalosporins, Fluoroquinolones, Lincosamides, Macrolides",4,1366
"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",4,1301
"Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol",4,1224
"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins",4,1158
"Cephalosporins, Fluoroquinolones, Glycopeptides, Macrolides",4,1157
"Aminoglycosides, Lincosamides, Macrolides, Penicillins",4,1090
"Cephalosporins, Folate pathway antagonists, Tetracycline, Tetracyclines",4,1009
"Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",4,926
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides",4,896
"Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",4,888
"Aminoglycosides, Glycopeptides, Macrolides, Penicillins",4,878
"Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents",4,854
"Fluoroquinolones, Penicillins, Tetracycline, Tetracyclines",4,803
"Glycopeptides, Lincosamides, Macrolides, Phenicol",4,775
"Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins",4,745
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists",4,737
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides",4,735
