Source_Folder,Source_File,Organism,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
Specimen,e_coli_sp.csv,Escherichia coli,ceftazidime,TES,1.0597,15.1367,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ceftazidime,SES,1.125,16.0883,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ceftazidime,XGBoost,0.9233,12.995,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ceftriaxone,SARIMA,0.7511,6.6466,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,ceftriaxone,ARIMA,0.7538,6.6676,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,ceftriaxone,TES,1.1127,9.7238,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,ceftriaxone,SES,0.7569,6.6906,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,ceftriaxone,XGBoost,0.8656,7.2089,SARIMA
Specimen,e_coli_ur.csv,Escherichia coli,ertapenem,SARIMA,0.2907,24.3583,TES
Specimen,e_coli_ur.csv,Escherichia coli,ertapenem,ARIMA,0.3661,33.479,TES
Specimen,e_coli_ur.csv,Escherichia coli,ertapenem,TES,0.2106,17.9066,TES
Specimen,e_coli_ur.csv,Escherichia coli,ertapenem,SES,0.2933,26.8335,TES
Specimen,e_coli_ur.csv,Escherichia coli,ertapenem,XGBoost,0.2577,20.9982,TES
Specimen,e_coli_ur.csv,Escherichia coli,imipenem,SARIMA,0.2033,22.0711,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,imipenem,ARIMA,0.2599,27.9917,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,imipenem,TES,0.158,16.1114,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,imipenem,SES,0.2213,23.4306,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,imipenem,XGBoost,0.1187,12.2221,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,meropenem,SARIMA,0.1513,13.8187,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,meropenem,ARIMA,0.2494,24.8281,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,meropenem,TES,0.1973,19.6104,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,meropenem,SES,0.2631,27.0627,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,meropenem,XGBoost,0.1388,12.2468,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,cefepime,SARIMA,1.0835,28.1052,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,cefepime,ARIMA,0.8128,20.5726,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,cefepime,TES,1.329,34.3585,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,cefepime,SES,0.8513,21.6582,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,cefepime,XGBoost,0.3442,7.2866,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftazidime,SARIMA,1.023,20.217,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftazidime,ARIMA,1.025,20.2595,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftazidime,TES,0.9972,19.745,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftazidime,SES,1.0427,20.6764,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftazidime,XGBoost,0.5882,10.937,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftriaxone,SARIMA,1.198,12.7482,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftriaxone,ARIMA,1.0463,11.1179,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftriaxone,TES,0.9498,9.9205,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftriaxone,SES,1.0766,11.4793,XGBoost
Specimen,e_coli_ur.csv,Escherichia coli,ceftriaxone,XGBoost,0.5497,4.7942,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,imipenem,SARIMA,0.6267,20.0651,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,imipenem,ARIMA,0.6286,20.1396,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,imipenem,TES,0.4856,15.4329,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,imipenem,SES,0.6255,20.0202,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,imipenem,XGBoost,0.7271,23.5608,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,meropenem,SARIMA,1.3628,35.6343,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,meropenem,ARIMA,0.925,23.6542,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,meropenem,TES,0.5846,13.5841,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,meropenem,SES,0.8091,20.689,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,meropenem,XGBoost,0.731,16.8594,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ertapenem,SARIMA,0.9494,21.525,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ertapenem,ARIMA,0.8031,17.6259,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ertapenem,TES,1.5065,37.0045,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ertapenem,SES,0.8612,18.9609,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ertapenem,XGBoost,0.6423,14.6146,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,cefepime,SARIMA,0.7443,15.3644,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,cefepime,ARIMA,0.7382,15.2303,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,cefepime,TES,0.711,13.7054,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,cefepime,SES,0.8471,17.1297,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,cefepime,XGBoost,0.7485,14.8428,TES
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftazidime,SARIMA,0.6186,6.2133,ARIMA
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftazidime,ARIMA,0.6148,6.0698,ARIMA
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftazidime,TES,0.764,9.5422,ARIMA
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftazidime,SES,0.6233,6.4042,ARIMA
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftazidime,XGBoost,0.7202,8.1351,ARIMA
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftriaxone,SARIMA,1.3667,16.5781,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftriaxone,ARIMA,1.2113,14.595,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftriaxone,TES,2.6,31.2566,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftriaxone,SES,1.1743,14.0879,XGBoost
Specimen,k_pneumoniae_bl.csv,Klebsiella pneumoniae,ceftriaxone,XGBoost,0.6428,6.9187,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,imipenem,SARIMA,0.4137,14.2358,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,imipenem,ARIMA,0.3367,11.0907,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,imipenem,TES,0.2665,9.3988,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,imipenem,SES,0.3368,11.0918,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,imipenem,XGBoost,0.2788,9.608,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,meropenem,SARIMA,0.5462,14.1565,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,meropenem,ARIMA,0.6211,16.6142,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,meropenem,TES,0.4591,11.3235,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,meropenem,SES,0.6193,16.5553,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,meropenem,XGBoost,0.5003,13.1604,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ertapenem,SARIMA,0.8728,19.2329,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ertapenem,ARIMA,0.7547,17.4493,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ertapenem,TES,0.2912,6.1211,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ertapenem,SES,0.7332,16.8779,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ertapenem,XGBoost,0.4053,8.747,TES
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,cefepime,SARIMA,2.547,46.4128,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,cefepime,ARIMA,0.8961,15.6615,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,cefepime,TES,1.4501,25.8152,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,cefepime,SES,0.8955,15.6498,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,cefepime,XGBoost,0.6476,9.0712,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftazidime,SARIMA,1.0189,13.4214,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftazidime,ARIMA,1.0195,13.4303,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftazidime,TES,0.89,11.5809,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftazidime,SES,1.0176,13.4009,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftazidime,XGBoost,0.4916,6.0731,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftriaxone,SARIMA,0.9262,10.781,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftriaxone,ARIMA,0.926,10.779,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftriaxone,TES,2.0982,25.5596,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftriaxone,SES,0.92,10.6938,XGBoost
Specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae,ceftriaxone,XGBoost,0.564,5.9776,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,imipenem,SARIMA,0.5128,19.0733,SES
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,imipenem,ARIMA,0.4787,17.6109,SES
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,imipenem,TES,0.502,18.6181,SES
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,imipenem,SES,0.3195,10.9563,SES
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,imipenem,XGBoost,0.4954,17.0753,SES
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,meropenem,SARIMA,0.3843,9.7746,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,meropenem,ARIMA,0.3969,9.7833,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,meropenem,TES,0.5247,12.743,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,meropenem,SES,0.4692,11.8943,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,meropenem,XGBoost,0.411,9.6219,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ertapenem,SARIMA,0.3621,6.5689,SARIMA
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ertapenem,ARIMA,0.3621,6.5689,SARIMA
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ertapenem,TES,0.5935,11.7836,SARIMA
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ertapenem,SES,0.4124,7.6437,SARIMA
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ertapenem,XGBoost,0.3461,6.6429,SARIMA
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,cefepime,SARIMA,0.7816,13.1797,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,cefepime,ARIMA,0.765,12.8218,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,cefepime,TES,1.3999,24.7705,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,cefepime,SES,0.8031,13.6298,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,cefepime,XGBoost,0.5262,9.0531,XGBoost
