Bacteria,Ward_Type,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Escherichia coli,in,meropenem,0.4775998551046811,0.06413946275629545,True
Escherichia coli,in,norfloxacin,0.7545875952914866,0.2980316571835244,True
Escherichia coli,in,piperacillin/tazobactam,0.4704282886127755,0.13626832789157695,True
Escherichia coli,in,trimethoprim/sulfamethoxazole,0.5682828301206314,0.2107958466776274,True
Escherichia coli,out,Sensitive/None,0.5813564188698525,0.2778950109507433,True
Escherichia coli,out,amikacin,0.24157220956391673,0.0,False
Escherichia coli,out,amoxicillin/clavulanic acid,0.45024345300120233,0.22084528088423172,True
Escherichia coli,out,ampicillin,0.18863091917242833,0.4291092514085413,True
Escherichia coli,out,ampicillin/sulbactam,-0.012417847252950856,0.08911452417033405,False
Escherichia coli,out,cefepime,0.41437769470896246,0.07617823069952534,True
Escherichia coli,out,ceftazidime,0.10299222921254182,0.0,False
Escherichia coli,out,ceftriaxone,0.42831374358091456,0.12962957745396808,True
Escherichia coli,out,cefuroxime,0.07328700394693233,0.5160902984403926,True
Escherichia coli,out,ciprofloxacin,0.5322988196835318,0.3149714740269667,True
Escherichia coli,out,ertapenem,0.3805166762087038,0.0028796985224021077,False
Escherichia coli,out,gentamicin,0.5620017968502696,0.18879064073007235,True
Escherichia coli,out,imipenem,0.2013913156347685,0.11641661017840965,False
Escherichia coli,out,levofloxacin,0.5826892161011602,0.13335826960719666,True
Escherichia coli,out,meropenem,0.33331131786472995,0.14536745733262757,False
Escherichia coli,out,norfloxacin,0.7305760106232149,0.20979559052929286,True
Escherichia coli,out,piperacillin/tazobactam,0.04090229216470856,0.0,False
Escherichia coli,out,trimethoprim/sulfamethoxazole,0.021620637725892226,0.29613310154238326,False
Enterococcus faecalis,icu,Sensitive/None,0.6833333333333332,0.0,True
Enterococcus faecalis,icu,ampicillin,0.6733333333333335,3.887320370532521e-05,True
Enterococcus faecalis,icu,chloramphenicol,0.6972027972027972,0.0,True
Enterococcus faecalis,icu,ciprofloxacin,0.621976774178179,0.0,True
Enterococcus faecalis,icu,erythromycin,0.2578637310329692,0.0,False
Enterococcus faecalis,icu,levofloxacin,0.621976774178179,0.0,True
Enterococcus faecalis,icu,norfloxacin,0.6733333333333335,3.887320370532521e-05,True
Enterococcus faecalis,icu,penicillin,0.6733333333333335,3.887320370532521e-05,True
Enterococcus faecalis,icu,tetracycline,0.3710298223186319,4.912561405745475e-05,False
Enterococcus faecalis,in,Sensitive/None,0.6915199517806868,1.485529608880043e-06,True
Enterococcus faecalis,in,chloramphenicol,0.4302312881690263,0.0,True
Enterococcus faecalis,in,ciprofloxacin,0.626755763727625,0.006008033881959363,True
Enterococcus faecalis,in,erythromycin,0.6364415249787636,0.01188443728344879,True
Enterococcus faecalis,in,levofloxacin,0.6875750134976975,0.006603873720163689,True
Enterococcus faecalis,in,penicillin,0.7574434721227986,0.055597675128302826,True
Enterococcus faecalis,in,teicoplanin,0.6302040614567648,0.0,True
Enterococcus faecalis,in,tetracycline,0.5048594255029004,0.10276209257739222,True
Enterococcus faecalis,out,Sensitive/None,0.6833333333333332,0.0,True
Enterococcus faecalis,out,chloramphenicol,0.7066932005307232,1.1917551892004496e-05,True
Enterococcus faecalis,out,ciprofloxacin,0.7451536686878074,0.0002820260313248779,True
