organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Staphylococcus aureus,2020,6,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2020,7,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,9,22.22
Staphylococcus aureus,2020,7,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2020,8,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,12,16.67
Staphylococcus aureus,2020,8,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,12,16.67
Staphylococcus aureus,2020,8,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,12,8.33
Staphylococcus aureus,2020,8,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,12,8.33
Staphylococcus aureus,2020,8,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,12,8.33
Staphylococcus aureus,2020,10,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,8,25.0
Staphylococcus aureus,2020,10,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,11,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,8,25.0
Staphylococcus aureus,2020,11,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,11,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2020,12,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,3,100.0
Staphylococcus aureus,2021,1,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,11,18.18
Staphylococcus aureus,2021,1,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,11,18.18
Staphylococcus aureus,2021,1,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,11,9.09
Staphylococcus aureus,2021,2,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,6,33.33
Staphylococcus aureus,2021,2,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2021,3,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,10,30.0
Staphylococcus aureus,2021,3,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,10,10.0
Staphylococcus aureus,2021,3,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,10,10.0
Staphylococcus aureus,2021,4,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,7,28.57
Staphylococcus aureus,2021,4,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,7,28.57
Staphylococcus aureus,2021,4,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,7,14.29
Staphylococcus aureus,2021,5,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,16,18.75
Staphylococcus aureus,2021,5,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,16,6.25
Staphylococcus aureus,2021,5,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,16,6.25
Staphylococcus aureus,2021,6,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,20,15.0
Staphylococcus aureus,2021,6,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,20,10.0
Staphylococcus aureus,2021,6,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,20,5.0
Staphylococcus aureus,2021,7,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,8,25.0
Staphylococcus aureus,2021,7,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2021,7,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2021,8,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,17,17.65
Staphylococcus aureus,2021,8,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,17,11.76
Staphylococcus aureus,2021,9,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,17,11.76
Staphylococcus aureus,2021,9,bl,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,17,11.76
Staphylococcus aureus,2021,9,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,17,5.88
Staphylococcus aureus,2021,9,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,17,5.88
Staphylococcus aureus,2021,9,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,17,5.88
Staphylococcus aureus,2021,10,bl,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,10,20.0
Staphylococcus aureus,2021,10,bl,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,10,20.0
Staphylococcus aureus,2021,10,bl,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,10,10.0
