,เขตสุขภาพ,จังหวัด,โรงพยาบาล,,ศวก.ในพื้นที่,Sub-NRL,Code,
130,13,กรุงเทพมหานคร,โรงพยาบาลพญาไท ๒,P,,,P2H,
131,13,กรุงเทพมหานคร,โรงพยาบาลภูมิพลอดุยเดช,Mil,,,BHU,
132,13,กรุงเทพมหานคร,โรงพยาบาลตากสิน,BKK,,,TKS,
133,13,กรุงเทพมหานคร,โรงพยาบาลนพรัตนราชธานี,DMS,,,NOP,
134,13,กรุงเทพมหานคร,โรงพยาบาลเลิดสิน,DMS,,,LED,
135,13,กรุงเทพมหานคร,โรงพยาบาลกลาง,BKK,,,KLH,
136,13,กรุงเทพมหานคร,โรงพยาบาลเจริญกรุงประชารักษ์,BKK,,,CHA,
137,13,กรุงเทพมหานคร,โรงพยาบาลเซนต์หลุยต์,P,,,SLH,
138,13,กรุงเทพมหานคร,คณะแพทย์ศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,U,,,RAM,
139,13,กรุงเทพมหานคร,คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,U,,,VAJ,
140,13,กรุงเทพมหานคร,สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,DMS,,,QSN,
141,13,กรุงเทพมหานคร,ศูนย์การแพทย์บางรักด้านโรคติดต่อทางเพศสัมพันธ์,DDC,,,DDC,
,,,,,,,,
