Organism,Code_Org
"Staphylococcus, coagulase negative",sep
"Staphylococcus, coagulase negative",sae
"Staphylococcus, coagulase negative",sai
"Staphylococcus, coagulase negative",sca
"Staphylococcus, coagulase negative",sca
"Staphylococcus, coagulase negative",sur
"Staphylococcus, coagulase negative",scp
"Staphylococcus, coagulase negative",scu
"Staphylococcus, coagulase negative",scl
"Staphylococcus, coagulase negative",scg
"Staphylococcus, coagulase negative",slc
"Staphylococcus, coagulase negative",stc
"Staphylococcus, coagulase negative",stc
"Staphylococcus, coagulase negative",sul
"Staphylococcus, coagulase negative",sde
"Staphylococcus, coagulase negative",sep
"Staphylococcus, coagulase negative",seq
"Staphylococcus, coagulase negative",sfe
"Staphylococcus, coagulase negative",sgl
"Staphylococcus, coagulase negative",shl
"Staphylococcus, coagulase negative",sho
"Staphylococcus, coagulase negative",sho
"Staphylococcus, coagulase negative",snb
"Staphylococcus, coagulase negative",shy
"Staphylococcus, coagulase negative",sit
"Staphylococcus, coagulase negative",skl
"Staphylococcus, coagulase negative",sle
"Staphylococcus, coagulase negative",slu
"Staphylococcus, coagulase negative",sms
"Staphylococcus, coagulase negative",stt
"Staphylococcus, coagulase negative",sps
"Staphylococcus, coagulase negative",psd
"Staphylococcus, coagulase negative",spv
"Staphylococcus, coagulase negative",pps
"Staphylococcus, coagulase negative",sap
"Staphylococcus, coagulase negative",ssb
"Staphylococcus, coagulase negative",sap
"Staphylococcus, coagulase negative",slc
"Staphylococcus, coagulase negative",ssf
"Staphylococcus, coagulase negative",ssr
"Staphylococcus, coagulase negative",sle
"Staphylococcus, coagulase negative",ssr
"Staphylococcus, coagulase negative",ssi
"Staphylococcus, coagulase negative",sta
"Staphylococcus, coagulase negative",spv
"Staphylococcus, coagulase negative",swa
"Staphylococcus, coagulase negative",sxy
"Staphylococcus, coagulase negative",scn
Streptococcus agalactiae,sgc
Streptococcus agalactiae,bsb
"Streptococcus, beta-hemolytic not Group A,B,D",sdy
"Streptococcus, beta-hemolytic not Group A,B,D",bsc
"Streptococcus, beta-hemolytic not Group A,B,D",bse
"Streptococcus, beta-hemolytic not Group A,B,D",bsf
"Streptococcus, beta-hemolytic not Group A,B,D",bsg
"Streptococcus, beta-hemolytic not Group A,B,D",bs-
"Streptococcus, beta-hemolytic not Group A,B,D",sqm
"Streptococcus, beta-hemolytic not Group A,B,D",squ
"Streptococcus, beta-hemolytic not Group A,B,D",szo
"Streptococcus, beta-hemolytic not Group A,B,D",san
"Streptococcus, beta-hemolytic not Group A,B,D",sct
"Streptococcus, beta-hemolytic not Group A,B,D",sxa
Streptococcus pyogenes,bsa
Streptococcus pyogenes,spy
Streptococcus suis,sui
Streptococcuss spp. Viridans Group,sad
Streptococcuss spp. Viridans Group,san
Streptococcuss spp. Viridans Group,sct
Streptococcuss spp. Viridans Group,scc
Streptococcuss spp. Viridans Group,src
Streptococcuss spp. Viridans Group,sdo
Streptococcuss spp. Viridans Group,squ
Streptococcuss spp. Viridans Group,sfr
Streptococcuss spp. Viridans Group,sin
Streptococcuss spp. Viridans Group,smc
Streptococcuss spp. Viridans Group,smt
Streptococcuss spp. Viridans Group,smu
Streptococcuss spp. Viridans Group,sol
Streptococcuss spp. Viridans Group,spp
Streptococcuss spp. Viridans Group,srt
Streptococcuss spp. Viridans Group,ssa
Streptococcuss spp. Viridans Group,ssn
Streptococcuss spp. Viridans Group,ss1
Streptococcuss spp. Viridans Group,ss2
Streptococcuss spp. Viridans Group,sub
Streptococcuss spp. Viridans Group,svi
Streptococcuss spp. Viridans Group,sgm
Streptococcuss spp. Viridans Group,dxe
Streptococcuss spp. Viridans Group,sso
Streptococcus pneumoniae,spn
,nan
,nan
,nan
,nan
