organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2018,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",67,689,9.72
Escherichia coli,2018,5,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",64,689,9.29
Escherichia coli,2018,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",62,689,9.0
Escherichia coli,2018,5,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",38,689,5.52
Escherichia coli,2018,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",82,655,12.52
Escherichia coli,2018,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",76,655,11.6
Escherichia coli,2018,6,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",52,655,7.94
Escherichia coli,2018,6,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",51,655,7.79
Escherichia coli,2018,6,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",38,655,5.8
Escherichia coli,2018,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",86,700,12.29
Escherichia coli,2018,7,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",71,700,10.14
